"ibgeCode","name","uf","region","rank","population2022","registeredHomicides","hiddenHomicides","estimatedHomicides","homicideRate","year"
"2928703","Santo Antônio de Jesus","BA","NE","1","103055","96","1","97","94,1","2022"
"2918001","Jequié","BA","NE","2","158813","133","13","146","91,9","2022"
"2930709","Simões Filho","BA","NE","3","114559","88","5","93","81,2","2022"
"2905701","Camaçari","BA","NE","4","300372","224","6","230","76,6","2022"
"2918407","Juazeiro","BA","NE","5","237821","167","5","172","72,3","2022"
"1500602","Altamira","PA","N","6","126279","88","2","90","71,3","2022"
"5107925","Sorriso","MT","CO","7","110635","77","1","78","70,5","2022"
"2602902","Cabo de Santo Agostinho","PE","NE","8","203440","135","1","136","66,9","2022"
"2927408","Salvador","BA","NE","9","2417678","1568","37","1605","66,4","2022"
"2910800","Feira de Santana","BA","NE","10","616272","403","4","407","66","2022"
"2408003","Mossoró","RN","NE","11","264577","170","0","170","64,3","2022"
"2802908","Itabaiana","SE","NE","12","103440","59","4","63","60,9","2022"
"3302007","Itaguaí","RJ","SE","13","116841","42","28","70","59,9","2022"
"2910727","Eunápolis","BA","NE","14","113710","65","3","68","59,8","2022"
"2913606","Ilhéus","BA","NE","15","178649","104","2","106","59,3","2022"
"2919553","Luís Eduardo Magalhães","BA","NE","16","107909","62","1","63","58,4","2022"
"3304144","Queimados","RJ","SE","17","140523","52","30","82","58,4","2022"
"2307650","Maracanaú","CE","NE","18","234509","81","55","136","58","2022"
"2931350","Teixeira de Freitas","BA","NE","19","145216","82","2","84","57,8","2022"
"2616407","Vitória de Santo Antão","PE","NE","20","134084","74","3","77","57,4","2022"
"2303709","Caucaia","CE","NE","21","355679","116","84","200","56,2","2022"
"1600303","Macapá","AP","N","22","442933","241","6","247","55,8","2022"
"1302603","Manaus","AM","N","23","2063689","1130","19","1149","55,7","2022"
"2412005","São Gonçalo do Amarante","RN","NE","24","115838","58","5","63","54,4","2022"
"1504422","Marituba","PA","N","25","111785","57","3","60","53,7","2022"
"1504208","Marabá","PA","N","26","266533","140","2","142","53,3","2022"
"1600600","Santana","AP","N","27","107618","56","1","57","53","2022"
"4118204","Paranaguá","PR","S","28","145829","77","0","77","52,8","2022"
"1503606","Itaituba","PA","N","29","123314","64","0","64","51,9","2022"
"2919207","Lauro de Freitas","BA","NE","30","203331","98","6","104","51,1","2022"
"2900702","Alagoinhas","BA","NE","31","151055","75","2","77","51","2022"
"2925303","Porto Seguro","BA","NE","32","168326","79","5","84","49,9","2022"
"1505502","Paragominas","PA","N","33","105550","52","0","52","49,3","2022"
